uid,title,summary,type,color,start,end,location,link
schedule-request-2703686-occurrence-6577500,2703686 - Girls 7th Volleyball @ Boardman Center Middle School - Youngstown (Boardman Maroon ),2703686 - Girls 7th Volleyball @ Boardman Center Middle School - Youngstown (Boardman Maroon ),Athletics - Away,#de0720,2025-09-29 5:00 PM,2025-09-29 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2703686/occurrences/6577500
schedule-request-2703687-occurrence-6577501,2703687 - Girls 8th Volleyball @ Boardman Center Middle School - Youngstown (Boardman Maroon ),2703687 - Girls 8th Volleyball @ Boardman Center Middle School - Youngstown (Boardman Maroon ),Athletics - Away,#de0720,2025-09-29 6:00 PM,2025-09-29 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2703687/occurrences/6577501
schedule-request-2714140-occurrence-6591159,2714140 - Boys Junior Varsity Basketball @ Girard Jr/Sr HS,2714140 - Boys Junior Varsity Basketball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-12-16 5:30 PM,2025-12-16 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714140/occurrences/6591159
schedule-request-2714141-occurrence-6591160,2714141 - Boys Varsity Basketball @ Girard Jr/Sr HS,2714141 - Boys Varsity Basketball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-12-16 7:00 PM,2025-12-16 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714141/occurrences/6591160
schedule-request-2714144-occurrence-6591163,2714144 - Boys Junior Varsity Basketball @ Lakeview High School,2714144 - Boys Junior Varsity Basketball @ Lakeview High School,Athletics - Away,#de0720,2026-01-06 5:30 PM,2026-01-06 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714144/occurrences/6591163
schedule-request-2714145-occurrence-6591164,2714145 - Boys Varsity Basketball @ Lakeview High School,2714145 - Boys Varsity Basketball @ Lakeview High School,Athletics - Away,#de0720,2026-01-06 7:00 PM,2026-01-06 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714145/occurrences/6591164
schedule-request-2714146-occurrence-6591165,2714146 - Boys Junior Varsity Basketball @ Niles McKinley High School,2714146 - Boys Junior Varsity Basketball @ Niles McKinley High School,Athletics - Away,#de0720,2026-01-09 5:30 PM,2026-01-09 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714146/occurrences/6591165
schedule-request-2714147-occurrence-6591166,2714147 - Boys Varsity Basketball @ Niles McKinley High School,2714147 - Boys Varsity Basketball @ Niles McKinley High School,Athletics - Away,#de0720,2026-01-09 7:00 PM,2026-01-09 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714147/occurrences/6591166
schedule-request-2714150-occurrence-6591169,2714150 - POSTPONED: Boys Junior Varsity Basketball @ Hubbard High School,2714150 - POSTPONED: Boys Junior Varsity Basketball @ Hubbard High School,Athletics - Away,#de0720,2026-01-20 5:30 PM,2026-01-20 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714150/occurrences/6591169
schedule-request-2714151-occurrence-6591170,2714151 - POSTPONED: Boys Varsity Basketball @ Hubbard High School,2714151 - POSTPONED: Boys Varsity Basketball @ Hubbard High School,Athletics - Away,#de0720,2026-01-20 7:00 PM,2026-01-20 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714151/occurrences/6591170
schedule-request-2714154-occurrence-6591173,2714154 - POSTPONED: Boys Junior Varsity Basketball @ South Range High School,2714154 - POSTPONED: Boys Junior Varsity Basketball @ South Range High School,Athletics - Away,#de0720,2026-01-27 5:30 PM,2026-01-27 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714154/occurrences/6591173
schedule-request-2714155-occurrence-6591174,2714155 - POSTPONED: Boys Varsity Basketball @ South Range High School,2714155 - POSTPONED: Boys Varsity Basketball @ South Range High School,Athletics - Away,#de0720,2026-01-27 7:00 PM,2026-01-27 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2714155/occurrences/6591174
